title,cuisine,meal_type,servings,prepTime,cookingTime,difficulty,calories,image,description,dietary_tags,ingredients,instructions

Rakhine Rice Noodle with Fish Soup,Myanmar,lunch,4,30,40,Medium,,,A spicy and savory rice noodle soup from Rakhine State featuring thin rice noodles in a fragrant fish broth with aromatics and herbs.,"[""pescatarian""]","[{""name"":""Thin rice vermicelli noodles"",""amount"":""500 g""},{""name"":""White fish (pike-conger or firm white fish)"",""amount"":""400 g""},{""name"":""Ginger"",""amount"":""2 inch piece""},{""name"":""Garlic"",""amount"":""8 cloves""},{""name"":""Shrimp paste (ngapi)"",""amount"":""2 tbsp""},{""name"":""Black pepper"",""amount"":""1 tsp""},{""name"":""Galangal"",""amount"":""1 tbsp, pounded""},{""name"":""Onion"",""amount"":""1 medium, sliced""},{""name"":""Lime or tamarind juice"",""amount"":""2 tbsp""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Boil the fish with ginger until cooked; debone and reserve the broth."",""Strain the broth and add shrimp paste, black pepper, garlic, and galangal; simmer to infuse flavor."",""Cook the rice noodles until tender and drain."",""Place the noodles in bowls and ladle the hot fish broth over them."",""Top with sliced onion, cilantro, and lime or tamarind juice to taste.""]"
Rakhine Spicy Rice Salad,Myanmar,salad,4,25,15,Medium,,,"A bold and spicy rice salad from Rakhine State made with flaked fish, chili, garlic, and fresh herbs, known for its vibrant heat and savory depth.","[""pescatarian"",""spicy""]","[{""name"":""Cooked rice (preferably day-old)"",""amount"":""4 cups""},{""name"":""White fish (boiled and flaked)"",""amount"":""300 g""},{""name"":""Garlic"",""amount"":""6 cloves, minced""},{""name"":""Dried red chili flakes"",""amount"":""1–2 tbsp""},{""name"":""Fish sauce"",""amount"":""2–3 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Shallots"",""amount"":""2, thinly sliced""},{""name"":""Cilantro"",""amount"":""1 handful, chopped""},{""name"":""Roasted peanuts (optional)"",""amount"":""1/3 cup""},{""name"":""Oil"",""amount"":""2 tbsp""}]","[""Heat oil in a pan and sauté garlic until golden and fragrant."",""Add chili flakes and stir briefly to release aroma, being careful not to burn."",""In a large bowl, combine cooked rice and flaked fish."",""Pour the garlic-chili oil over the rice mixture and mix well."",""Season with fish sauce and lime juice, adjusting to taste."",""Fold in shallots and cilantro."",""Top with roasted peanuts if desired and serve at room temperature.""]"
Vermicelli with Chicken Soup,Myanmar,breakfast,4,20,45,Easy,,,"A comforting and light vermicelli noodle soup made with tender chicken, clear aromatic broth, and fresh herbs.","[""halal""]","[{""name"":""Rice vermicelli noodles"",""amount"":""500 g""},{""name"":""Chicken (bone-in pieces or whole small chicken)"",""amount"":""600 g""},{""name"":""Onion"",""amount"":""1 large, quartered""},{""name"":""Garlic"",""amount"":""5 cloves, crushed""},{""name"":""Ginger"",""amount"":""2-inch piece, sliced""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Black pepper"",""amount"":""1 tsp""},{""name"":""Fish sauce (optional)"",""amount"":""1–2 tbsp""},{""name"":""Cilantro"",""amount"":""1 handful, chopped""},{""name"":""Green onions"",""amount"":""2 stalks, sliced""},{""name"":""Lime"",""amount"":""1–2, cut into wedges""}]","[""In a large pot, add chicken, onion, garlic, ginger, and enough water to cover. Bring to a boil, then reduce to a gentle simmer."",""Skim off any foam and simmer for about 30–35 minutes until chicken is fully cooked and tender."",""Remove the chicken, shred or chop into bite-sized pieces, and return to the broth."",""Season the broth with salt, black pepper, and fish sauce if using."",""Cook vermicelli noodles separately according to package instructions and drain."",""Place noodles into serving bowls and ladle hot chicken soup over them."",""Garnish with cilantro, green onions, and serve with lime wedges.""]"
Ngar-Phal Ahsar Thut (Stuffed Featherback Fish),Myanmar,salad,4,40,30,Hard,,,"Featherback fish paste stuffed with seasoned filling, steamed or fried until firm and flavorful.","[""pescatarian""]","[{""name"":""Featherback fish paste"",""amount"":""500 g""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Shallots"",""amount"":""2""},{""name"":""Fish sauce"",""amount"":""1 tbsp""},{""name"":""Pepper"",""amount"":""1 tsp""},{""name"":""Oil"",""amount"":""for frying""}]","[""Mix fish paste with seasonings."",""Shape and stuff with filling if desired."",""Steam or deep fry until firm and golden."",""Serve hot with dipping sauce.""]"
Spicy Anchovy Salad,Myanmar,salad,4,20,5,Easy,,,"A bold and spicy Burmese salad made with dried anchovies, onions, and chili.","[""spicy""]","[{""name"":""Dried anchovies"",""amount"":""1 cup""},{""name"":""Onion"",""amount"":""1, sliced""},{""name"":""Chili flakes"",""amount"":""1 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce"",""amount"":""1 tbsp""}]","[""Lightly fry anchovies until crispy."",""Mix with onion, chili, lime juice, and fish sauce."",""Serve immediately.""]"
Rakhine Rice Salad,Myanmar,salad,4,25,15,Medium,,,"A spicy Rakhine-style rice salad mixed with fish, garlic oil, and chili.","[""spicy"",""pescatarian""]","[{""name"":""Cooked rice"",""amount"":""4 cups""},{""name"":""Boiled fish"",""amount"":""300 g""},{""name"":""Garlic"",""amount"":""6 cloves""},{""name"":""Chili powder"",""amount"":""1 tbsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""},{""name"":""Oil"",""amount"":""2 tbsp""}]","[""Fry garlic in oil until golden."",""Mix rice with flaked fish."",""Add chili, fish sauce, and garlic oil."",""Mix thoroughly and serve.""]"
Spicy Rakhine Fish Curry,Myanmar,dinner,4,20,35,Medium,,,"A fiery Rakhine fish curry cooked with chili, garlic, and traditional spices.","[""spicy"",""pescatarian""]","[{""name"":""Fish pieces"",""amount"":""500 g""},{""name"":""Chili paste"",""amount"":""2 tbsp""},{""name"":""Garlic"",""amount"":""6 cloves""},{""name"":""Turmeric"",""amount"":""1 tsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""}]","[""Sauté garlic and chili paste."",""Add fish and turmeric."",""Simmer gently until fish is cooked through."",""Season and serve hot.""]"
Rakhine Style Pounded Seafood Salad,Myanmar,salad,4,30,10,Medium,,,"A spicy pounded seafood salad with shrimp, squid, and bold Rakhine flavors.","[""spicy"",""pescatarian""]","[{""name"":""Shrimp"",""amount"":""200 g""},{""name"":""Squid"",""amount"":""200 g""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Chili"",""amount"":""1–2 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""}]","[""Boil seafood until cooked and drain."",""Pound garlic and chili together."",""Mix seafood with pounded mixture, lime, and fish sauce."",""Serve fresh.""]"
Rakhine Style Hot & Sour Fish Soup,Myanmar,dinner,4,25,30,Medium,,,A tangy and spicy Rakhine fish soup balanced with tamarind and chili.,"[""spicy"",""pescatarian""]","[{""name"":""Fish chunks"",""amount"":""400 g""},{""name"":""Tamarind juice"",""amount"":""2 tbsp""},{""name"":""Garlic"",""amount"":""5 cloves""},{""name"":""Chili paste"",""amount"":""1–2 tbsp""},{""name"":""Fish sauce"",""amount"":""2 tbsp""}]","[""Boil fish with garlic."",""Add tamarind juice and chili paste."",""Simmer until fish is tender."",""Season and serve hot.""]"
Lemon Salad,Myanmar,salad,4,15,0,Easy,,,"A refreshing Burmese citrus salad made with thinly sliced lemon, onions, and a savory-spicy dressing.","[""vegan"",""spicy""]","[{""name"":""Lemon (thinly sliced, seeds removed)"",""amount"":""2 large""},{""name"":""Red onion"",""amount"":""1 small, thinly sliced""},{""name"":""Chili flakes"",""amount"":""1 tsp""},{""name"":""Salt"",""amount"":""1/2 tsp""},{""name"":""Sugar"",""amount"":""1 tsp""},{""name"":""Sesame oil"",""amount"":""1 tsp""},{""name"":""Roasted peanuts"",""amount"":""2 tbsp""}]","[""Thinly slice lemons and remove seeds carefully."",""Mix with onion, salt, sugar, and chili flakes."",""Drizzle sesame oil and toss gently."",""Top with roasted peanuts and serve fresh.""]"
Rakhine Squid Salad,Myanmar,salad,4,30,10,Medium,,,"A bold and tangy Rakhine-style squid salad tossed with fermented shrimp paste, fresh herbs, and chili for a distinctive hot and sour flavor.","[""spicy"",""pescatarian""]","[{""name"":""Squid (cleaned)"",""amount"":""500 g""},{""name"":""Raw shrimp paste (ngapi)"",""amount"":""1 tbsp""},{""name"":""Cucumber"",""amount"":""1 cup, thinly sliced""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Onion"",""amount"":""1 medium, sliced""},{""name"":""Shrimp fish sauce"",""amount"":""1–2 tbsp""},{""name"":""Green chili"",""amount"":""2–3, roasted""},{""name"":""Cilantro"",""amount"":""1 handful""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Black pepper"",""amount"":""1/2 tsp""},{""name"":""Salt"",""amount"":""for cleaning""}]","[""Clean the squid thoroughly. Rub with salt and rinse several times until fully clean, then drain well."",""Heat a pan over high heat and quickly sear the squid just until firm and slightly tightened. Remove and let cool."",""Continue simmering the remaining squid juices in the pan until slightly reduced, then set aside."",""In a mortar, pound roasted green chilies and garlic together with raw shrimp paste."",""In a bowl, combine the squid, cucumber, onion, pounded mixture, and reduced squid juices."",""Add lime juice and shrimp fish sauce to balance seasoning."",""Garnish with cilantro and black pepper, toss well, and serve fresh.""]"
Kyauk Kyaw (Coconut Jelly),Myanmar,dessert,6,15,25,Easy,,,"A classic Burmese coconut jelly dessert made with agar powder, coconut milk, and sugar, set until firm and sliced into pieces.","[""vegetarian"",""gluten-free""]","[{""name"":""Agar powder (kyauk kyaw powder)"",""amount"":""25 g""},{""name"":""Sugar"",""amount"":""125 g""},{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Water"",""amount"":""1500 ml""},{""name"":""Salt"",""amount"":""1/4 tsp""}]","[""Prepare a tray or mold for setting the jelly."",""In a deep pot, dissolve agar powder, sugar, and water together until fully combined."",""Bring to a boil over high heat, stirring frequently to prevent sticking."",""Once the mixture thickens, add coconut milk and salt, and continue stirring."",""When the mixture becomes thick and slightly sticky in texture, test by dropping a small amount onto a plate. If it sets within about 30 seconds, it is ready."",""Pour the mixture into the prepared tray and allow it to cool completely."",""Once fully set and firm, cut into desired shapes and serve.""]"
Banana Sanwin Makin (Burmese Banana Semolina Cake),Myanmar,dessert,8,25,30,Medium,,,"A rich and moist Rakhine-style banana semolina cake made with ripe bananas, coconut cream, and dried fruits, baked until golden and topped with poppy seeds.","[""vegetarian""]","[{""name"":""Ripe bananas"",""amount"":""20 small (Rakhine bananas)""},{""name"":""Wheat flour"",""amount"":""100 g""},{""name"":""Fine semolina (shwe kyi)"",""amount"":""100 g""},{""name"":""Eggs"",""amount"":""3""},{""name"":""Sugar"",""amount"":""120 g""},{""name"":""Butter or oil"",""amount"":""100 g""},{""name"":""Raisins (dried fruit)"",""amount"":""100 g""},{""name"":""Coconut cream"",""amount"":""300 ml""},{""name"":""Desiccated coconut"",""amount"":""30 g""},{""name"":""Salt"",""amount"":""1/2 tbsp""},{""name"":""Poppy seeds"",""amount"":""1 tbsp""}]","[""Mash the ripe bananas thoroughly in a large bowl until smooth."",""Add all remaining ingredients except poppy seeds, mixing well after each addition until fully combined."",""Transfer the mixture into a pot and cook over medium heat, stirring continuously until the mixture thickens and oil begins to separate slightly."",""Pour the thickened batter into a greased baking tray and smooth the surface evenly."",""Sprinkle poppy seeds on top."",""Bake in a preheated oven at 220°C (top heat) and 120°C (bottom heat) for about 30 minutes or until golden brown."",""Check doneness by inserting a thin stick into the center; if it comes out clean, remove from oven."",""Allow to cool before slicing and serving.""]"
Moke Lat Kouk Kyaw (Burmese Donuts),Myanmar,dessert,6,20,30,Medium,,,"Crispy deep-fried sticky rice dough rings coated with rich palm jaggery syrup, a traditional Burmese sweet snack.","[""vegetarian""]","[{""name"":""Glutinous rice flour"",""amount"":""160 g""},{""name"":""Rice flour"",""amount"":""40 g""},{""name"":""Baking soda"",""amount"":""1/2 tsp""},{""name"":""Salt"",""amount"":""a pinch""},{""name"":""Palm jaggery"",""amount"":""6 blocks""},{""name"":""Hot water"",""amount"":""1 cup (approx.)""},{""name"":""Cooking oil"",""amount"":""for deep frying""}]","[""Mix glutinous rice flour and rice flour together in a bowl."",""Add baking soda and salt. Gradually pour in hot water while kneading until the dough becomes smooth and slightly firm."",""Cover and let the dough rest for about 2 hours until it becomes slightly elastic."",""Roll small portions of dough into long strips and shape into small rings."",""Heat plenty of oil in a pan. Fry the rings over medium-low heat until golden brown and crispy."",""In a separate pot, melt palm jaggery with a small pinch of salt and cook until it thickens into a sticky syrup."",""Coat the fried rice rings with the warm jaggery syrup and serve.""]"
Spicy Dried Fish & Rakhine Eggplant,Myanmar,dinner,4,20,25,Medium,,,"A flavorful Rakhine-style spicy dish made with dried fish and Rakhine eggplant, seasoned with chili, garlic, and aromatic herbs.","[""spicy"",""pescatarian""]","[{""name"":""Dried fish (cleaned and soaked)"",""amount"":""1 piece""},{""name"":""Rakhine eggplant (sliced)"",""amount"":""1 medium""},{""name"":""Red onion"",""amount"":""thinly sliced""},{""name"":""Green chili"",""amount"":""2–3, lightly pounded""},{""name"":""Shrimp paste"",""amount"":""1 tsp""},{""name"":""Sesame oil"",""amount"":""1–2 tsp""},{""name"":""Garlic"",""amount"":""1–2 cloves, crushed""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Dashi or sugar"",""amount"":""optional""},{""name"":""Cilantro"",""amount"":""1 handful for garnish""}]","[""Prepare eggplant by slicing and soaking in lightly salted water."",""In a pot, combine dried fish, eggplant, pounded chili, shrimp paste, garlic, sesame oil, salt, and dashi/sugar if using."",""Cover the pot and simmer until fragrant and eggplant is tender."",""Garnish with cilantro before serving."",""Adjust salt according to the saltiness of the dried fish, and add extra green chili if desired for more heat.""]"
Rakhine Mixed Curry,Myanmar,dinner,4,20,30,Medium,,,"A flavorful Rakhine-style mixed sour curry with dried fish, vegetables, and aromatic spices, delivering a perfect balance of sour, spicy, and savory notes.","[""spicy"",""pescatarian""]","[{""name"":""Dried fish (small pieces)"",""amount"":""as needed""},{""name"":""Eggplant"",""amount"":""1 medium, sliced""},{""name"":""Potato"",""amount"":""1 medium, sliced""},{""name"":""Long beans"",""amount"":""100 g, cut""},{""name"":""Pea shoots"",""amount"":""100 g""},{""name"":""Garlic"",""amount"":""4 cloves, crushed""},{""name"":""Green chili"",""amount"":""200 g, pounded""},{""name"":""Green chili powder"",""amount"":""1 tsp""},{""name"":""Shrimp paste"",""amount"":""1 tsp""},{""name"":""Tamarind juice"",""amount"":""as needed""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Seasoning powder"",""amount"":""to taste""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Tomato"",""amount"":""1, sliced, for finishing""}]","[""Heat oil in a pot and add green chili powder."",""Add dried fish pieces and sauté until fragrant."",""Add prepared vegetables: eggplant, potato, long beans, pea shoots."",""Add shrimp paste, crushed garlic, pounded green chili, salt, and seasoning powder."",""Pour in a little water and simmer until vegetables are tender."",""Finally, add sliced tomato and tamarind juice to taste."",""Simmer briefly, adjust seasoning, and serve hot."",""Tip: Add tomato at the very end to keep curry fresh and sour. Adjust green chili according to spice preference.""]"
Rakhine Eggplant & Bamboo Shoot Curry,Myanmar,lunch,4,20,25,Medium,,,"A traditional Rakhine-style curry combining tender bamboo shoots and eggplant with aromatic spices and dried chilies, simmered to perfection.","[""spicy"",""pescatarian""]","[{""name"":""Bamboo shoots (soaked and cleaned)"",""amount"":""as needed""},{""name"":""Eggplant (sliced and washed)"",""amount"":""1 medium""},{""name"":""Dried chili (pounded)"",""amount"":""as needed""},{""name"":""Cilantro"",""amount"":""1 handful""},{""name"":""Shan cilantro"",""amount"":""1 handful""},{""name"":""Shrimp paste"",""amount"":""as needed""},{""name"":""Tamarind juice"",""amount"":""to taste""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Seasoning powder or chicken powder"",""amount"":""to taste""}]","[""Soak bamboo shoots and rinse well; prepare eggplant by slicing and washing."",""In a pot, combine bamboo shoots and eggplant."",""Add shrimp paste, salt, seasoning powder, and pounded dried chili."",""Add a little water and bring to a gentle simmer."",""Once the curry is simmered, add tamarind juice to taste."",""When vegetables are tender, garnish with cilantro and Shan cilantro."",""Serve hot and enjoy the fragrant, flavorful Rakhine curry."",""Tip: Bamboo shoots expand when soaked, so adjust quantities carefully. Fresh herbs like cilantro and Shan cilantro enhance aroma.""]"
